n	m	l	a	b	sgm	S	tr	tg	td	nll
4	35	128156296	1.192796	1.304028	28.734375	263.912015	0.024082	0.028864	0.064388	7611.314288
4	40	128662919	19.810638	1.297095	21.664734	1183.007812	0.181794	0.008582	0.093577	7655.740509
4	32	127859467	34.50276	1.174625	16.501489	940.793537	0.191878	0.00596	0.074533	7641.823973
4	20	126656308	17.658884	1.150567	28.360465	461.26019	0.022627	0.008523	0.142263	7715.100025
4	17	126356716	24.941781	1.258167	23.988034	935.881335	0.118009	0.01625	0.120725	7667.272991
4	39	128559366	34.42595	1.002642	17.807373	446.440969	0.075826	0.008226	0.072049	7672.148829
4	30	127664898	0	1.537057	32.523143	737.837324	0.069967	0.02851	0.115304	7657.29491
4	25	127156475	0.003663	1.573896	20.081275	1136.276364	0.2848	0.01038	0.076577	7620.454294
4	16	126256347	30.277089	1.141401	19.34129	955.733352	0.117827	0.170544	0.030854	7568.712964
4	18	126456590	21.615984	1.009588	14.429803	374.055729	0.003819	0.229257	0.018366	7606.081511
4	2	124856293	3.423862	1.443672	26.83388	888.601573	0.072184	0.154548	0.026822	7581.819126
4	7	125364824	69.857904	0.797787	9.845408	486.072729	0.112704	0.006769	0.076544	7628.526694
4	36	128259278	22.050565	1.246771	22.339292	922.608833	0.103766	0.150753	0.039243	7573.973789
4	15	126156740	0.000483	1.538818	24.982806	1100.518213	0.151881	0.134166	0.026527	7568.420218
4	12	125856376	0.004645	1.482729	20.71622	580.266008	0.152534	0.001026	0.06927	7627.769002
4	3	124956290	0.000136	1.564665	13.894166	686.934868	0.312045	0.001968	0.050164	7614.83386
4	38	128461871	21.859169	1.099877	18.801032	404.652063	0.082251	0.008776	0.054973	7672.107646
4	4	125062910	24.166533	1.176777	21.982333	1523.269569	0.200753	0.114257	0.053149	7601.833207
4	8	125456317	24.204512	1.185943	21.068817	580.899457	0.084383	0.029918	0.081089	7665.012876
4	29	127569667	0.002896	1.514443	20.950104	1414.630464	0.312744	0.090268	0.027974	7577.81517
4	31	127768693	40.272924	0.980735	16.838151	1284.706861	0.19215	0.150835	0.032819	7575.573492
4	9	125556492	34.547845	1.101116	17.944842	688.01118	0.068394	0.190216	0.045477	7578.811814
4	37	128359529	0.403856	1.581544	20.27764	1161.670852	0.267886	0.046857	0.06127	7603.512453
4	14	126056458	0.021526	1.318866	17.753158	227.114241	0.100007	0.001715	0.034826	7604.124624
4	33	127968784	13.765857	1.198223	20.165464	474.359056	0.015435	0.184477	0.022651	7604.033794
4	1	124762893	29.52934	1.160489	19.933988	954.420392	0.108843	0.175353	0.036498	7574.902255
4	6	125263234	33.681844	1.107159	18.185939	746.566284	0.060095	0.228228	0.04736	7581.721723
4	19	126569502	39.105245	1.072505	18.182438	662.149937	0.104119	0.028066	0.086693	7654.756704
4	23	126956612	34.836272	1.21315	17.346496	740.226186	0.114402	0.095363	0.075391	7632.095433
4	5	125156376	49.510987	0.948182	14.53655	769.580399	0.110949	0.173033	0.055908	7578.237003
4	28	127458381	53.173385	0.939562	12.545731	558.210765	0.068173	0.235096	0.079387	7590.108764
4	22	126856494	37.746059	1.041872	16.316645	3252.296109	0.364142	0.999663	0.99995	7663.395847
4	10	125656293	27.472277	1.125179	20.760138	1277.276208	0.144554	0.177063	0.032599	7579.396383
4	11	125756788	57.08563	0.905252	12.493192	558.94405	0.113413	0.001547	0.079866	7640.106039
4	24	127062901	35.518068	1.171037	15.362753	909.443781	0.197362	0.011545	0.066724	7637.652418
4	34	128069595	37.712515	1.065657	16.908816	937.826131	0.136698	0.160231	0.030361	7572.29809
4	21	126756525	0.033088	1.613722	14.96489	1325.08189	0.466143	0.054159	0.036892	7591.904137
4	26	127256380	41.944458	0.931167	16.246309	1259.903487	0.168256	0.224802	0.021523	7581.90817
4	13	125964042	2.196403	1.342936	23.045485	430.086745	0.037001	0.134218	0.006025	7566.533542
4	27	127367750	28.965416	1.12943	19.908493	1347.222806	0.197662	0.120802	0.038572	7587.967803
4	80	121270364	36.827013	1.140671	19.044711	780.575113	0.11419	0.009596	0.111707	7657.952613
4	118	130575888	11.754791	1.290687	22.172284	644.561419	0.072633	0.153659	0.007805	7563.216033
4	100	57941849	36.825006	1.123791	16.000312	670.867164	0.136451	0.001773	0.07714	7647.859798
4	46	138191112	5.177895	1.469379	23.872453	955.064678	0.173732	0.001	0.093975	7642.285108
4	110	54947700	38.519015	1.039499	15.6353	835.085203	0.104335	0.210869	0.021611	7572.603421
4	120	133744037	0.000399	1.55247	19.204539	1096.067119	0.284461	0.020069	0.063033	7620.024012
4	104	90244584	37.449787	1.044239	15.467847	593.633064	0.054196	0.256833	0.027152	7573.048257
