			a_acc	b_acc	a_speed	b_speed	sgmInput	S	tauR	tauG	tauD	
1	133	83416491	15.855082	1.109831	0.014097	1.475015	5.171322	443.805901	0.036448	0.009316	0.135328	17815.80405
1	19	25646351	24.509649	0.995276	0.039431	1.529754	5.510695	357.906619	0.028984	0.011277	0.144678	17820.78357
1	47	46487485	15.366046	1.125995	0.000658	1.460357	5.399509	509.650031	0.051132	0.007189	0.122735	17832.979
1	66	96329470	66.31167	0.81312	0.717281	1.622221	5.177792	450.228761	0.078739	0.001499	0.118572	17846.95729
1	154	42113245	17.265953	1.22271	0.053817	1.605924	5.409156	618.284944	0.057	0.004951	0.160878	17855.92535
1	97	105073019	29.353482	1.112331	0.170612	1.780698	5.658659	390.472484	0.031322	0.008874	0.205503	17859.0755
1	69	37803950	58.253617	0.920005	0.000275	1.659634	5.505672	672.320856	0.116283	0.001065	0.115927	17861.13693
1	6	24344143	18.703335	1.272133	0.04328	1.773619	5.354987	552.889328	0.043835	0.007024	0.199061	17861.97441
1	30	26748746	45.111613	1.038903	0.019869	1.576356	5.648244	589.371173	0.102719	0.002366	0.105381	17863.38537
1	38	27545878	49.80553	0.959714	0.451821	1.882324	5.685673	409.124659	0.04278	0.007087	0.207669	17868.05794
1	75	67811020	48.848576	0.900241	68.909444	0.684761	6.333749	905.563101	0.134607	0.185306	0.054331	17869.39221
1	23	26043569	47.719435	1.009686	0.008975	1.530653	5.826328	619.922081	0.121034	0.001748	0.090909	17869.88178
1	72	97395728	19.08611	1.254935	0.004427	1.729451	5.739496	618.208733	0.06013	0.007139	0.174328	17870.33096
1	24	26143574	12.262492	1.347119	0.002475	1.641823	5.801509	966.137153	0.183899	0.001	0.094501	17870.5391
1	4	24151961	55.200555	0.926294	0.004122	1.823459	5.781039	478.972372	0.062423	0.006425	0.170916	17871.034
1	35	27244099	43.837745	1.067872	0.004865	1.646422	6.112767	650.569852	0.110124	0.003963	0.116299	17871.93942
1	129	32618640	13.645811	1.302043	0.001253	1.605884	6.120242	667.367506	0.123173	0.00452	0.099362	17872.54705
1	80	98785926	18.946016	1.148804	3.984598	1.517945	5.409662	521.670279	0.050391	0.003474	0.147333	17873.01589
1	58	15979241	38.630702	0.786591	1.646488	1.307972	5.45136	277.027014	0.036249	0.010412	0.084045	17874.81448
1	144	53924222	8.177927	1.301882	0.00013	1.542603	5.229063	619.943742	0.138403	0.001072	0.07294	17877.47006
1	73	34604683	19.457399	1.125282	0.000883	1.467202	5.825721	428.514942	0.07024	0.011489	0.084583	17879.2662
1	102	63207428	39.284846	1.037522	69.867965	0.640552	6.456945	812.889135	0.128965	0.161855	0.036258	17879.73115
1	26	26922238	24.898666	1.162492	67.200533	0.69155	6.667392	1009.869315	0.156205	0.132469	0.033567	17879.97139
1	148	57983474	5.934744	1.124306	0.00473	1.432539	5.89499	292.565083	0.041263	0.025394	0.068672	17880.69762
1	128	50315644	31.268768	0.926675	0.000048	1.419165	6.010598	316.480667	0.049236	0.016585	0.079184	17881.87604
1	63	37107728	43.884409	1.081554	0.007856	1.572581	5.737779	771.291964	0.167473	0.001002	0.079976	17883.83222
1	17	25444621	25.177345	1.087807	53.005527	0.850106	6.343118	1150.583197	0.141779	0.175433	0.026436	17883.86574
1	86	32483142	19.583302	1.156344	56.667772	0.790709	6.464181	1205.32022	0.156833	0.152912	0.02817	17887.68416
