			a_acc	b_acc	a_speed	b_speed	noise	scale	tauR	tauG	tauI	
1	142	56387834	0.000001	0.713513	0.000015	1.051663	0.999837	43.513769	0.001	0.00167	0.508641	25602.1465
1	119	115936965	9.020923	0.311958	8.570015	0.45611	0.750574	25.606093	0.001013	0.001	0.960393	25653.14841
1	85	84854207	0.059986	1.296459	0.000651	1.997524	0.999987	61.151157	0.001471	0.001601	0.959668	25702.45272
1	77	68732728	0.000371	1.122257	0.000183	1.754314	0.980978	61.162683	0.001	0.001839	0.907267	25712.44434
1	89	109848272	0.000293	0.100007	0.00808	0.452393	1	726.360727	0.001	0.246156	0.001	25716.74483
1	14	64480673	0.539102	0.107322	0.005447	0.471483	0.999994	722.637056	0.001	0.24307	0.005363	25729.94687
1	118	70380234	0.000051	0.100001	8.64349	0.415229	0.999951	798.55385	0.001007	0.362949	0.011595	25762.14615
1	159	49677119	17.797797	0.167379	19.079355	0.248164	0.994203	25.600519	0.001003	0.001	0.677051	25770.80462
1	128	93946099	0	0.101216	5.608458	0.466563	0.991275	803.665895	0.001	0.361162	0.001205	25774.1918
1	117	118834596	0.020924	0.100077	12.438173	0.352426	0.990039	801.691149	0.001	0.363293	0.040353	25783.3095
1	45	47510242	0.000302	0.100014	9.341375	0.417173	0.999979	816.061391	0.001047	0.336802	0.041823	25786.4382
1	95	34545245	0.053647	0.228693	18.149268	0.370644	0.999991	764.596498	0.001002	0.352134	0.115625	25807.7999
1	145	120055551	0.00121	0.53245	1.237205	0.651481	0.999742	37.353598	0.001	0.001539	0.364282	25809.40178
1	104	55929092	0.000001	0.188387	15.410893	0.689054	1	788.36647	0.001002	0.341097	0.390562	25822.20866
1	91	43548335	0.000001	0.193928	15.260724	0.924611	0.999968	777.683769	0.001	0.32673	0.582858	25828.19071
1	146	96051589	1.101366	0.516514	17.618536	1.114838	1	762.387862	0.001	0.320127	0.873936	25828.87784
1	115	114930121	0.000014	0.465805	16.661382	1.275565	1	754.567993	0.001	0.292636	0.960743	25830.73604
1	143	120200108	0.654936	0.482549	18.948214	0.976967	1	753.483015	0.001	0.312623	0.780347	25831.13456
1	132	51807110	1.215962	0.37917	15.874066	1.294656	1	773.007828	0.001006	0.312782	0.956611	25832.90431
1	28	65875933	0.017902	0.562884	17.841573	1.287973	0.999917	735.898048	0.001	0.280063	0.919003	25833.17432
1	98	51342495	0	0.466018	15.576612	1.482093	0.999996	778.997739	0.001001	0.336927	0.999832	25838.7913
1	130	91016430	0	0.467134	17.713867	1.26992	0.999998	773.237191	0.001	0.339595	0.952694	25841.03371
1	45	64964381	0.225136	0.382864	15.129196	1.454834	0.999625	806.961047	0.001003	0.375448	0.999999	25844.94227
1	83	102444035	0.000057	0.1	11.24671	0.668817	0.999831	824.473145	0.001	0.399822	0.276231	25847.5496
1	98	91379896	0.035999	0.524297	15.464655	1.282642	1	807.335878	0.001038	0.338219	0.92791	25849.45714
1	102	69526430	0.002009	0.21392	11.854157	0.86077	0.999811	794.944908	0.001057	0.278579	0.481717	25852.36228
1	68	18113271	0	0.308006	13.119444	1.40443	0.999249	810.691027	0.001034	0.327254	0.9972	25856.87179
1	91	105841665	0.002566	0.227738	0.004569	0.727923	0.998892	678.093596	0.001	0.176698	0.23843	25863.6512
1	157	60681752	0.017653	0.547565	15.219555	1.475673	0.999999	728.452148	0.001	0.254883	0.973361	25864.57972
1	109	52979882	0	0.260348	11.890354	0.493168	0.999984	834.813103	0.001007	0.516258	0.021926	25869.49761
1	66	68054587	0.094777	1.147879	0.022104	1.760387	0.996082	92.359766	0.001116	0.001931	0.999367	25875.84536
1	21	65181213	1.235422	0.22788	11.439645	0.604849	0.999879	859.998106	0.001001	0.58457	0.057784	25893.64181
1	117	79268133	0.975224	0.885598	0.000001	2.228062	0.999953	631.590385	0.001	0.139066	1	25908.76104
1	29	29676194	0.000517	0.10027	8.210803	0.492022	1	895.821029	0.001039	0.545324	0.007038	25914.2996
1	14	28170144	0.439788	0.436652	0.000078	1.539517	0.999598	684.779102	0.001001	0.170889	0.760097	25915.36916
1	6	27376018	0.011048	0.408929	15.223998	0.995176	0.999971	845.489372	0.001034	0.462208	0.490428	25917.45852
1	142	50957276	0	0.325434	0.059324	1.389271	0.992538	698.104832	0.001	0.181237	0.70578	25926.25508
1	5	63572307	0.000072	0.45963	9.869141	1.54091	0.999999	752.837467	0.001066	0.219037	0.823082	25927.53948
1	50	78957776	0.091665	0.650638	0.012663	2.085534	0.978208	683.132535	0.001	0.16198	0.999943	25932.57834
1	3	63372764	0.000004	0.176863	5.597345	0.703855	0.999755	894.003815	0.001002	0.670946	0.005672	25954.36033
1	70	65954312	1.896798	1.323551	0.004901	1.72021	0.99921	149.686078	0.003226	0.001007	0.624899	25957.79203
1	55	29633020	1.825106	1.123616	0.000588	1.456328	0.999956	190.56854	0.003463	0.001	0.495161	25994.97085
1	141	85616337	0.003704	0.290389	5.132409	0.790041	0.999745	937.636371	0.001061	0.719671	0.012581	26015.39107
1	124	67582622	2.274164	1.468708	0.010691	1.882551	0.918058	137.560947	0.002609	0.001053	0.813193	26017.75361
1	135	98115817	1.296817	0.989675	0.012394	1.380294	0.783895	106.352604	0.001649	0.001269	0.699772	26020.52241
1	110	110169667	1.607016	1.801696	0.000049	2.514569	0.994262	250.23727	0.003561	0.001002	0.99999	26031.79465
1	75	48346189	0.892903	1.252163	0	1.788154	0.997748	291.677806	0.003768	0.001	0.630008	26037.46222
1	115	96738297	1.988905	1.525606	0.005493	2.014005	0.999951	268.749045	0.003643	0.001024	0.758247	26042.78099
1	51	85404170	0.678918	1.009416	0.006305	1.428528	0.999999	221.718392	0.00383	0.001	0.412205	26044.95786
1	104	36336475	0.413067	0.912529	0.001062	1.254822	0.989435	199.761811	0.003705	0.001	0.344469	26051.59159
1	149	67715796	0.467448	0.941598	0.004668	1.328861	0.87453	113.716956	0.002582	0.001043	0.425981	26056.92376
1	15	28275668	0.733081	1.025402	0.000032	1.471021	0.917891	184.580882	0.002883	0.001083	0.52447	26058.20701
1	119	107845244	0.001161	0.58177	12.163972	0.980072	0.991473	885.853409	0.001	0.743801	0.144196	26063.18473
1	62	32862672	1.513568	1.813539	0.000174	2.61187	0.998383	359.829581	0.003969	0.001	0.971506	26105.73601
1	83	55509228	0.891704	1.02117	0.001885	1.374929	0.999999	288.434056	0.004162	0.001001	0.374765	26106.9461
1	72	21170826	1.757802	1.686735	0.003157	2.295085	0.981273	308.787004	0.003218	0.00118	0.971591	26144.07886
1	81	72219962	0.001495	1.254167	0.001675	2.032389	0.999995	193.674892	0.001006	0.002857	0.961316	26176.31449
1	22	28975862	0.04418	1.46755	0.000022	2.245518	0.996682	214.784118	0.001	0.003254	0.9998	26214.00799
1	150	96182128	0.045315	1.098332	0.015665	1.742783	0.713328	317.386439	0.002291	0.001001	0.780912	26387.92374
1	59	92971156	4.505659	1.21198	0.014726	1.48188	0.782649	378.899176	0.002423	0.001004	0.798234	26412.94831
1	105	100508843	0.000016	1.302539	0.001211	2.048699	0.99219	356.348069	0.001722	0.002602	0.964746	26414.01408
1	101	120040538	0.156097	1.325317	69.998932	0.237085	0.999991	25.601562	0.001	0.001407	0.9057	26527.93923
1	105	30150189	12.526505	0.675725	19.473613	0.630374	0.98452	25.600577	0.001465	0.009718	0.013035	26538.17921
1	93	101184914	27.445671	1.715937	28.958821	1.73005	0.996932	25.600348	0.999375	0.001042	0.001	26607.60493
1	148	106552686	27.433647	1.717502	21.844073	1.758243	1	25.6	0.999976	0.001007	0.001	26609.7748
1	60	88643836	27.255996	1.716402	20.063651	1.76563	0.999964	25.663834	0.999265	0.00105	0.001	26615.67424
1	136	115398775	28.318522	1.713189	28.393297	1.731806	0.993952	25.618452	0.999895	0.001066	0.0011	26616.36938
1	44	49295182	28.121955	1.707567	23.666631	1.742528	0.999949	25.600411	0.953721	0.001002	0.001001	26632.82559
1	47	56015491	27.246924	1.718222	24.000662	1.748453	0.999999	25.627685	0.999994	0.001649	0.001004	26635.64315
1	46	50693057	5.054189	0.968832	70	0.266812	0.999881	25.606408	0.001	0.001557	0.998784	26637.7452
1	88	91399050	27.604397	1.718262	22.099074	1.756843	1	25.6	0.999983	0.001607	0.001	26638.26575
1	1	63179183	27.157828	1.716206	29.339256	1.725853	1	25.6	0.983988	0.001351	0.001001	26641.04521
1	153	42633793	25.558941	1.722717	20.626956	1.761433	0.999833	25.612884	0.983301	0.001124	0.001	26641.66419
1	116	113952412	29.362376	1.7088	30.939039	1.726321	0.907588	25.791506	0.999999	0.001001	0.001	26691.73397
1	2	26970150	24.802618	1.728099	32.711977	1.717695	0.999981	25.621289	0.993887	0.001801	0.001008	26716.17705
1	47	39700679	26.202371	1.722808	19.249604	1.781001	0.768951	25.607409	0.999427	0.0012	0.00109	26786.72778
1	7	63777778	27.347106	1.723692	14.298816	1.806778	0.978089	25.787209	0.998817	0.00379	0.001009	26845.53174
1	40	30777686	26.758864	1.719586	13.73076	1.806687	0.931521	25.617025	0.963829	0.002675	0.001	26854.71927
1	132	99794198	21.923732	1.733267	31.284211	1.719392	0.964314	25.6	0.939413	0.001737	0.001242	26868.04753
1	78	96790244	27.584012	1.699957	11.239695	1.809834	0.99997	25.60952	0.866283	0.002057	0.001007	26931.41814
1	54	65563256	26.983256	1.693989	20.603711	1.745381	0.990212	25.600623	0.763914	0.003363	0.001695	27014.76546
1	42	53018691	27.20267	1.675432	10.531792	1.798191	0.999964	25.606318	0.738704	0.001487	0.001	27087.83124
1	55	58258339	20.407269	1.717642	12.786907	1.788862	0.984108	25.605251	0.806927	0.00133	0.001146	27120.5258
